epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
130,915.919,0.75284,0.49384,0.99328,0.99404,0.97115,0.99398,0.82915,0.71205,0.37279,0.90962,0.000930725,0.000930725,0.000930725
131,922.878,0.78081,0.54348,1.00039,0.99081,0.91747,0.98044,0.79405,0.81718,0.44161,0.95307,0.00092825,0.00092825,0.00092825
132,930.038,0.79146,0.49917,0.99155,0.93574,0.91305,0.96403,0.76731,0.7919,0.47327,0.96049,0.000925775,0.000925775,0.000925775
133,937.15,0.80936,0.53276,1.03919,0.98232,0.98112,0.99429,0.82735,0.72505,0.40829,0.92786,0.0009233,0.0009233,0.0009233
134,943.601,0.78176,0.53676,1.03234,0.99419,1,0.995,0.81283,0.77838,0.36183,0.93711,0.000920825,0.000920825,0.000920825
135,950.398,0.74145,0.49092,0.98933,0.99574,1,0.995,0.82066,0.77549,0.35599,0.93707,0.00091835,0.00091835,0.00091835
136,956.692,0.77188,0.52722,1.01819,0.99639,1,0.995,0.82512,0.71717,0.33585,0.92024,0.000915875,0.000915875,0.000915875
137,964.053,0.77256,0.54694,1.01381,0.99533,1,0.995,0.82698,0.74621,0.35531,0.91501,0.0009134,0.0009134,0.0009134
138,971.504,0.7701,0.5231,1.0008,0.99553,1,0.995,0.83085,0.71853,0.36059,0.90967,0.000910925,0.000910925,0.000910925
139,978.212,0.71895,0.4797,0.9823,0.98572,0.99886,0.995,0.8308,0.67716,0.36487,0.91256,0.00090845,0.00090845,0.00090845
140,985.338,0.78115,0.53886,1.00649,0.99235,1,0.995,0.8354,0.69989,0.36408,0.91105,0.000905975,0.000905975,0.000905975
141,992.119,0.7357,0.48616,0.97513,0.99402,1,0.995,0.80726,0.74508,0.37151,0.92388,0.0009035,0.0009035,0.0009035
142,998.963,0.78246,0.52931,1.0189,0.99154,1,0.995,0.82041,0.74641,0.35867,0.92531,0.000901025,0.000901025,0.000901025
143,1005.79,0.76863,0.49236,1.0002,0.9925,0.99644,0.995,0.82988,0.69828,0.36894,0.9119,0.00089855,0.00089855,0.00089855
144,1012.57,0.76315,0.51026,1.01329,0.99498,0.99337,0.995,0.83899,0.67527,0.35966,0.90175,0.000896075,0.000896075,0.000896075
145,1019.61,0.75943,0.49836,0.99743,0.99295,0.99811,0.995,0.82923,0.71083,0.35536,0.91592,0.0008936,0.0008936,0.0008936
146,1025.76,0.78253,0.54948,1.03596,0.99535,0.99938,0.995,0.82987,0.68541,0.34478,0.9158,0.000891125,0.000891125,0.000891125
147,1032.96,0.7735,0.52388,1.01485,0.99524,1,0.995,0.81102,0.76894,0.35927,0.941,0.00088865,0.00088865,0.00088865
148,1039.79,0.74735,0.50927,1.01555,0.99026,1,0.995,0.82727,0.67452,0.34781,0.91115,0.000886175,0.000886175,0.000886175
149,1046.15,0.7601,0.51131,0.9934,0.98774,1,0.995,0.82432,0.65977,0.34162,0.91129,0.0008837,0.0008837,0.0008837
150,1053.13,0.7525,0.51217,1.00376,0.98939,1,0.995,0.81655,0.72495,0.35145,0.92235,0.000881225,0.000881225,0.000881225
151,1060.17,0.78044,0.51848,1.01488,0.99072,0.9978,0.995,0.82941,0.71943,0.35161,0.91214,0.00087875,0.00087875,0.00087875
152,1067.27,0.76015,0.50267,1.00518,0.99683,0.98931,0.995,0.84375,0.70409,0.33813,0.90292,0.000876275,0.000876275,0.000876275
153,1074.23,0.76647,0.52554,1.01883,0.99708,0.99265,0.995,0.85888,0.66217,0.33851,0.90106,0.0008738,0.0008738,0.0008738
154,1081.03,0.77257,0.52664,1.03147,0.99497,0.99853,0.995,0.84869,0.65163,0.33411,0.9013,0.000871325,0.000871325,0.000871325
155,1087.87,0.72866,0.49333,0.9995,0.99342,1,0.995,0.82204,0.75075,0.34313,0.93334,0.00086885,0.00086885,0.00086885
156,1095.45,0.71664,0.47278,1.00178,0.99705,1,0.995,0.84063,0.68372,0.33583,0.91086,0.000866375,0.000866375,0.000866375
157,1101.79,0.69857,0.45121,0.97699,0.99701,1,0.995,0.83814,0.68861,0.33032,0.90959,0.0008639,0.0008639,0.0008639
158,1108.51,0.74402,0.49383,1.01275,0.99495,1,0.995,0.85493,0.64704,0.32372,0.88887,0.000861425,0.000861425,0.000861425
159,1115.63,0.73956,0.51708,0.99162,0.99289,1,0.995,0.84333,0.65875,0.33068,0.90002,0.00085895,0.00085895,0.00085895
160,1122.75,0.71013,0.47869,0.98231,0.99131,0.99993,0.995,0.84677,0.63871,0.31869,0.89047,0.000856475,0.000856475,0.000856475
161,1129.38,0.71446,0.47468,0.99188,0.99009,1,0.995,0.86194,0.60919,0.32041,0.88894,0.000854,0.000854,0.000854
162,1136.19,0.70299,0.48913,0.98352,0.99109,0.99964,0.995,0.86674,0.62428,0.32475,0.8933,0.000851525,0.000851525,0.000851525
163,1142.99,0.71179,0.4673,0.98921,0.99708,0.99693,0.995,0.8478,0.67594,0.34262,0.90962,0.00084905,0.00084905,0.00084905
164,1149.96,0.70889,0.45519,0.96847,0.99245,0.99745,0.995,0.86458,0.61391,0.31794,0.89009,0.000846575,0.000846575,0.000846575
165,1157.23,0.7042,0.46577,0.99037,0.9954,0.99922,0.995,0.85492,0.64167,0.31863,0.89695,0.0008441,0.0008441,0.0008441
166,1164.2,0.72723,0.50389,0.98318,0.99518,1,0.995,0.83774,0.68213,0.3335,0.90495,0.000841625,0.000841625,0.000841625
167,1171.18,0.67127,0.47878,0.9716,0.99476,0.99311,0.995,0.84921,0.67054,0.33007,0.89522,0.00083915,0.00083915,0.00083915
168,1177.82,0.69045,0.43209,0.96961,0.99575,0.99921,0.995,0.84274,0.70612,0.34218,0.90894,0.000836675,0.000836675,0.000836675
169,1185.3,0.67485,0.4175,0.95912,0.99488,1,0.995,0.84815,0.64745,0.34122,0.89415,0.0008342,0.0008342,0.0008342
170,1192.07,0.6765,0.43218,0.96902,0.99037,1,0.995,0.85865,0.5949,0.33493,0.87998,0.000831725,0.000831725,0.000831725
171,1198.79,0.69051,0.48576,0.98536,0.99507,1,0.995,0.86162,0.59899,0.33388,0.88214,0.00082925,0.00082925,0.00082925
172,1205.05,0.64922,0.43493,0.95913,0.99515,1,0.995,0.86667,0.57163,0.31309,0.87566,0.000826775,0.000826775,0.000826775
173,1212,0.67086,0.41413,0.94732,0.99581,0.99867,0.995,0.857,0.63168,0.33157,0.88991,0.0008243,0.0008243,0.0008243
174,1218.91,0.71927,0.48418,0.99642,0.99188,0.99611,0.995,0.85538,0.62296,0.33385,0.89425,0.000821825,0.000821825,0.000821825
175,1226.2,0.69857,0.48924,0.99602,0.98322,0.97179,0.99265,0.85239,0.66259,0.34809,0.89985,0.00081935,0.00081935,0.00081935
176,1233.17,0.68548,0.43853,0.959,0.99056,0.9868,0.99472,0.84876,0.69065,0.34222,0.90309,0.000816875,0.000816875,0.000816875
177,1240.07,0.66719,0.45477,0.9765,0.99562,0.99899,0.995,0.86757,0.57716,0.30474,0.87305,0.0008144,0.0008144,0.0008144
178,1246.53,0.69143,0.4637,0.97676,0.99462,0.99851,0.995,0.86932,0.56233,0.30731,0.8721,0.000811925,0.000811925,0.000811925
179,1254.06,0.70366,0.44774,0.97201,0.99346,0.99809,0.995,0.85914,0.628,0.31634,0.88669,0.00080945,0.00080945,0.00080945
180,1261.05,0.65638,0.43635,0.94659,0.9943,0.99821,0.995,0.87165,0.59469,0.31319,0.88154,0.000806975,0.000806975,0.000806975
181,1267.78,0.68711,0.44081,0.96784,0.99618,0.99995,0.995,0.8701,0.61386,0.30998,0.88656,0.0008045,0.0008045,0.0008045
182,1274.72,0.66073,0.40761,0.95609,0.99682,1,0.995,0.84458,0.6512,0.32191,0.89223,0.000802025,0.000802025,0.000802025
